"No.","Time","Source","Destination","Protocol","Length","Info"
"8284","51.270392","10.18.110.249","103.144.182.237","QUIC","88","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8285","51.270752","10.18.110.249","103.144.182.237","QUIC","90","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8286","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8287","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8288","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8289","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8290","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8291","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8292","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8293","51.270842","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8294","51.271236","10.18.110.249","103.144.182.237","QUIC","90","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8295","51.271383","10.18.110.249","103.144.182.237","QUIC","92","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8296","51.271540","10.18.110.249","103.144.182.237","QUIC","92","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8297","51.271676","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8298","51.271800","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8299","51.271905","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8300","51.272010","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8301","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8302","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8303","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8304","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8305","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8306","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8307","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8308","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8309","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8310","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8311","51.273234","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8312","51.273728","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8313","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8314","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8315","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8316","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8317","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8318","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8319","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8320","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8321","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8322","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8323","51.275355","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8324","51.276583","10.18.110.249","103.144.182.237","QUIC","94","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8325","51.277491","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8326","51.284874","10.18.110.249","103.144.182.237","QUIC","100","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8327","51.294732","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8328","51.294732","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
